Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Other Role Description - (Value),Sources,Notes
INDIGO-POJ-0126,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0127,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0128,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0129,INDIGO-ORG-0059,,,,
INDIGO-POJ-0129,INDIGO-ORG-0063,,,,
INDIGO-POJ-0130,INDIGO-ORG-0264,Performance management,,,
INDIGO-POJ-0130,INDIGO-ORG-0063,,,,
INDIGO-POJ-0130,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0131,INDIGO-ORG-0002,Performance management,,,
INDIGO-POJ-0132,INDIGO-ORG-0002,Performance management,,,
INDIGO-POJ-0133,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0133,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0134,INDIGO-ORG-0380,Performance management,,,
INDIGO-POJ-0134,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0135,INDIGO-ORG-0380,Performance management,,,
INDIGO-POJ-0136,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0137,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0137,INDIGO-ORG-0121,Other,Fund management,,
INDIGO-POJ-0138,INDIGO-ORG-0373,,,,
INDIGO-POJ-0139,INDIGO-ORG-0483,,,,
INDIGO-POJ-0140,INDIGO-ORG-0063,,,,
INDIGO-POJ-0141,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0142,INDIGO-ORG-0273,,,,
INDIGO-POJ-0143,INDIGO-ORG-0002,,,,
INDIGO-POJ-0143,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0144,INDIGO-ORG-0596,,,,
INDIGO-POJ-0145,INDIGO-ORG-0138,,,,
INDIGO-POJ-0146,INDIGO-ORG-0063,,,,
INDIGO-POJ-0146,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0147,INDIGO-ORG-0995,,,,
INDIGO-POJ-0148,INDIGO-ORG-0002,Performance management,,,
INDIGO-POJ-0149,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0150,INDIGO-ORG-0063,,,,
INDIGO-POJ-0150,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0151,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0153,INDIGO-ORG-0063,,,,
INDIGO-POJ-0154,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0156,INDIGO-ORG-0786,Performance management,,,
INDIGO-POJ-0156,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0157,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0160,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0161,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0161,INDIGO-ORG-0690,,,,
INDIGO-POJ-0162,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0163,INDIGO-ORG-0002,,,,
INDIGO-POJ-0164,INDIGO-ORG-0002,,,,
INDIGO-POJ-0165,INDIGO-ORG-0063,,,,
INDIGO-POJ-0165,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0166,INDIGO-ORG-0002,,,,
INDIGO-POJ-0166,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0167,INDIGO-ORG-1395,Other,Evaluator,,
INDIGO-POJ-0170,INDIGO-ORG-0063,Other,Advisory,,
INDIGO-POJ-0171,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0172,INDIGO-ORG-0002,Impact bond design,Worked on the contract model to design a suitable investment structure. Helped to assess the social investment market and engage with potential funders.,,Worked on the contract model to design a suitable investment structure. Helped to assess the social investment market and engage with potential funders.
INDIGO-POJ-0174,INDIGO-ORG-1077,Other,"Produced feasibility study of programme
",,
INDIGO-POJ-0174,INDIGO-ORG-1078,Other,"Produced feasibility study of programme
",,
INDIGO-POJ-0175,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0176,INDIGO-ORG-0063,,,,
INDIGO-POJ-0177,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0178,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0180,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0182,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0182,INDIGO-ORG-0380,,,,
INDIGO-POJ-0183,INDIGO-ORG-1078,Other,ATQ were engaged in the early stages only; up to Full Award Set Up,,
INDIGO-POJ-0183,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0184,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0188,INDIGO-ORG-0063,,,,
INDIGO-POJ-0189,INDIGO-ORG-0063,,,,
INDIGO-POJ-0190,INDIGO-ORG-0063,Other,Provided additional support,,
INDIGO-POJ-0191,INDIGO-ORG-1127,Technical assistance,,,
INDIGO-POJ-0192,INDIGO-ORG-0063,,,,
INDIGO-POJ-0193,INDIGO-ORG-0063,,,,
INDIGO-POJ-0194,INDIGO-ORG-1078,Other,Complex commissioning and social investment,,
INDIGO-POJ-0194,INDIGO-ORG-1160,Other,Complex commissioning and social investment,,
INDIGO-POJ-0195,INDIGO-ORG-0063,Other,Investment intermediary and performance manager,,Social Finance UK did performance management for The Skill Mill project until November 2022.
INDIGO-POJ-0195,INDIGO-ORG-1303,Performance management,,,
INDIGO-POJ-0195,INDIGO-ORG-1524,,,,
INDIGO-POJ-0196,INDIGO-ORG-0017,Performance management,,,
INDIGO-POJ-0196,INDIGO-ORG-0042,Other,Evaluator (lead),,
INDIGO-POJ-0196,INDIGO-ORG-0018,Other,Evaluator  ,,
INDIGO-POJ-0197,INDIGO-ORG-0042,Impact bond investment structure,,,
INDIGO-POJ-0198,INDIGO-ORG-1303,Other,Programme management,,
INDIGO-POJ-0199,INDIGO-ORG-0063,Technical assistance,,,Social Finance has provided advisory support to the Council including helping to develop the business case for the SIB and supporting the bid for Life Chances Fund subsidy for outcome payments.
INDIGO-POJ-0200,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0202,INDIGO-ORG-0917,Technical assistance,"Latitude Network supported MCM in its initial application and throughout the negotiation with Government, providing advice and technical assistance across service design, financial model, negotiation and data use",,
INDIGO-POJ-0202,INDIGO-ORG-1130,Impact bond investment structure,,,
INDIGO-POJ-0203,INDIGO-ORG-1173,,,,(Former Epiqus Oy)
INDIGO-POJ-0203,INDIGO-ORG-1174,,,,
INDIGO-POJ-0204,INDIGO-ORG-0174,Performance management,,,
INDIGO-POJ-0204,INDIGO-ORG-1127,Technical assistance,,,
INDIGO-POJ-0205,INDIGO-ORG-0546,Impact bond design,,,
INDIGO-POJ-0206,INDIGO-ORG-1388,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese General Directorate for Education validated this project.,,
INDIGO-POJ-0207,INDIGO-ORG-0450,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese General Directorate for for Reintegration and Prison Services validated this project.,,
INDIGO-POJ-0209,INDIGO-ORG-1387,Other,,,Public entity (partner)
INDIGO-POJ-0210,INDIGO-ORG-0018,Technical assistance,,,
INDIGO-POJ-0210,INDIGO-ORG-0017,Other,Evaluator,,
INDIGO-POJ-0211,INDIGO-ORG-1215,,,,
INDIGO-POJ-0212,INDIGO-ORG-0684,Impact bond design,,,
INDIGO-POJ-0214,INDIGO-ORG-1239,,,,
INDIGO-POJ-0215,INDIGO-ORG-1229,,,,
INDIGO-POJ-0216,INDIGO-ORG-1229,,,,
INDIGO-POJ-0217,INDIGO-ORG-1229,,,,
INDIGO-POJ-0218,INDIGO-ORG-0013,Impact bond design,"All roles - except performance management, which is the role of government.",,
INDIGO-POJ-0218,INDIGO-ORG-1251,Legal counsel,,,Acting for Social Ventures Australia
INDIGO-POJ-0219,INDIGO-ORG-0013,Impact bond design,"All roles except performance management, which is the role of government.",,
INDIGO-POJ-0219,INDIGO-ORG-1255,Legal counsel,Acting for Social Ventures Australia,,
INDIGO-POJ-0220,INDIGO-ORG-0013,Impact bond design,"All roles, except performance management (which is the role of government)",,
INDIGO-POJ-0220,INDIGO-ORG-1258,Legal counsel,,,
INDIGO-POJ-0221,INDIGO-ORG-0013,Impact bond design,"All roles, except performance management (which is the role of government)",,
INDIGO-POJ-0221,INDIGO-ORG-1255,Legal counsel,,,
INDIGO-POJ-0222,INDIGO-ORG-0042,Impact bond design,,,
INDIGO-POJ-0223,INDIGO-ORG-0042,Impact bond design,DIB coordinator,,Initiator of the refugees impact bond project.
INDIGO-POJ-0223,INDIGO-ORG-0598,Other,Evaluator,,
INDIGO-POJ-0224,INDIGO-ORG-0525,Other,"""Operator"" - consulting support, monitoring of project implementation, ensuring an independent assessment of the achievement of social effect, checking compliance with the conditions and goals of the implementation of the grant agreement concluded between the authorized body and the project organizer. ",,
INDIGO-POJ-0225,INDIGO-ORG-0525,Other,"VEB.FR acted as operator, doing consulting support, monitoring of project implementation, ensuring an independent assessment of the achievement of social effect, checking compliance with the conditions and goals of the implementation of the grant agreement concluded between the authorized body and the project organizer. ",,"Consulting support from case to case includes Impact bond design, Financial and commercial modeling, Capital raise, developing Performance management indicators, Legal counsel, Technical assistance."
INDIGO-POJ-0226,INDIGO-ORG-0525,Other,"VEB.FR acts as operator, doing consulting support, monitoring of project implementation, ensuring an independent assessment of the achievement of social effect, checking compliance with the conditions and goals of the implementation of the grant agreement concluded between the authorized body and the project organizer. ",,"Consulting support from case to case includes Impact bond design, Financial and commercial modeling, Capital raise, developing Performance management indicators, Legal counsel, Technical assistance."
INDIGO-POJ-0227,INDIGO-ORG-0525,Other,"VEB.RF acts as operator, doing consulting support, monitoring of project implementation, ensuring an independent assessment of the achievement of social effect, checking compliance with the conditions and goals of the implementation of the grant agreement concluded between the authorized body and the project organizer. ",,"Consulting support from case to case includes Impact bond design, Financial and commercial modeling, Capital raise, developing Performance management indicators, Legal counsel, Technical assistance."
INDIGO-POJ-0228,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0229,INDIGO-ORG-0190,Other,Transaction partner,,
INDIGO-POJ-0229,INDIGO-ORG-0073,Technical assistance,,,
INDIGO-POJ-0229,INDIGO-ORG-0985,Technical assistance,,,
INDIGO-POJ-0229,INDIGO-ORG-1292,Other,Independent evaluator,,
INDIGO-POJ-0229,INDIGO-ORG-0181,Performance management,,,
INDIGO-POJ-0229,INDIGO-ORG-1293,Legal counsel,,,
INDIGO-POJ-0231,INDIGO-ORG-1396,Other,Official evaluator,,
INDIGO-POJ-0232,INDIGO-ORG-1314,,,,
INDIGO-POJ-0233,INDIGO-ORG-1321,,,,
INDIGO-POJ-0234,INDIGO-ORG-1324,,,,
INDIGO-POJ-0235,INDIGO-ORG-1333,,,,
INDIGO-POJ-0236,INDIGO-ORG-1320,,,,
INDIGO-POJ-0237,INDIGO-ORG-1340,,,,
INDIGO-POJ-0238,INDIGO-ORG-1347,Other,,,
INDIGO-POJ-0239,INDIGO-ORG-1350,Other,,,
INDIGO-POJ-0240,INDIGO-ORG-1322,Other,,,
INDIGO-POJ-0241,INDIGO-ORG-1353,,,,
INDIGO-POJ-0243,INDIGO-ORG-1324,,,,
INDIGO-POJ-0245,INDIGO-ORG-1368,,,,
INDIGO-POJ-0247,INDIGO-ORG-1374,Impact bond investment structure,"Together with Citibank, they are also bookrunners. ",,
INDIGO-POJ-0247,INDIGO-ORG-1375,Other,Bookrunner,,
INDIGO-POJ-0247,INDIGO-ORG-1376,Other,Calculation agent,,
INDIGO-POJ-0247,INDIGO-ORG-1377,Other,Verification agent,,
INDIGO-POJ-0248,INDIGO-ORG-1387,Other,"The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portugues Ministry for Science, Technology and Higher Education validated this project. ",,
INDIGO-POJ-0249,INDIGO-ORG-1387,Other,"The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portugues Ministry for Science, Technology and Higher Education validated this project. ",,
INDIGO-POJ-0250,INDIGO-ORG-1387,Other,"The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portugues Ministry for Science, Technology and Higher Education validated this project. ",,
INDIGO-POJ-0251,INDIGO-ORG-1387,Other,"The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portugues Ministry for Science, Technology and Higher Education validated this project. ",,
INDIGO-POJ-0252,INDIGO-ORG-1387,Other,"The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portugues Ministry for Science, Technology and Higher Education validated this project. ",,
INDIGO-POJ-0253,INDIGO-ORG-1387,Other,"The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portugues Ministry for Science, Technology and Higher Education validated this project. ",,
INDIGO-POJ-0254,INDIGO-ORG-1387,Other,"The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portugues Ministry for Science, Technology and Higher Education validated this project. ",,
INDIGO-POJ-0259,INDIGO-ORG-1400,Other,,,
INDIGO-POJ-0259,INDIGO-ORG-1401,Other,,,
INDIGO-POJ-0260,INDIGO-ORG-0164,,,,
INDIGO-POJ-0271,INDIGO-ORG-0121,,,,
INDIGO-POJ-0272,INDIGO-ORG-1430,Other,"Capital raise, loan arranger, subcontracting of service provider",,
INDIGO-POJ-0273,INDIGO-ORG-1438,Other,"Program Facilitator. Carolinian Canada is a
non-profit conservation network that holds the prototype
bond, manages cash flows, facilitates relationships among
partners, and coordinates the habitat projects that align
with the CIB objectives in the Healthy Landscape Portfolio",,
INDIGO-POJ-0274,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0275,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0276,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0282,INDIGO-ORG-0121,,,,
INDIGO-POJ-0285,INDIGO-ORG-1229,Other,,,
INDIGO-POJ-0285,INDIGO-ORG-0121,Other,,,
INDIGO-POJ-0287,INDIGO-ORG-1494,,,,
INDIGO-POJ-0288,INDIGO-ORG-1539,Performance management,,,
INDIGO-POJ-0288,INDIGO-ORG-1540,Other,Evaluator,,The Health Unit is in charge of the evaluation of the programme. 
INDIGO-POJ-0288,INDIGO-ORG-1543,Other,Independent Verification Agent ,,
INDIGO-POJ-0289,INDIGO-ORG-1517,Performance management,,,
INDIGO-POJ-0290,INDIGO-ORG-1517,Performance management,,,
INDIGO-POJ-0291,INDIGO-ORG-0063,Impact bond design,,,
INDIGO-POJ-0295,INDIGO-ORG-0760,Other,Helped secure investment partners to support the SIB,,
INDIGO-POJ-0295,INDIGO-ORG-1622,Other,Helped secure investment partners to support the SIB,,
INDIGO-POJ-0299,INDIGO-ORG-0063,Other,,,
INDIGO-POJ-0299,INDIGO-ORG-0059,,,,
INDIGO-POJ-0300,INDIGO-ORG-0063,Other,SF provide staff for EoLCI to act as management agent and retail investor,,
INDIGO-POJ-0300,INDIGO-ORG-0059,,,,
INDIGO-POJ-0301,INDIGO-ORG-1549,Other,Advisory and structurer,,
INDIGO-POJ-0302,INDIGO-ORG-0121,,,,
INDIGO-POJ-0302,INDIGO-ORG-1674,Performance management,,,
INDIGO-POJ-0302,INDIGO-ORG-1675,,,,
INDIGO-POJ-0304,INDIGO-ORG-0042,Technical assistance,,,Structuring impact bond project
INDIGO-POJ-0304,INDIGO-ORG-0598,Technical assistance,,,Official evaluator
INDIGO-POJ-0305,INDIGO-ORG-0063,,,,
INDIGO-POJ-0306,INDIGO-ORG-0063,,,,
INDIGO-POJ-0308,INDIGO-ORG-0059,,,,
INDIGO-POJ-0308,INDIGO-ORG-0063,,,,
INDIGO-POJ-0309,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0311,INDIGO-ORG-1600,Other,,,
INDIGO-POJ-0315,INDIGO-ORG-1611,Other,,,
INDIGO-POJ-0315,INDIGO-ORG-1612,Other,,,
INDIGO-POJ-0315,INDIGO-ORG-1615,Other,Evaluator,,
INDIGO-POJ-0316,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0317,INDIGO-ORG-1625,Technical assistance,,,Intermediary for the project on behalf of the Ministry of Social Affairs
INDIGO-POJ-0317,INDIGO-ORG-1630,Other,Evaluator,,External evaluator
INDIGO-POJ-0318,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0319,INDIGO-ORG-0121,,,,
INDIGO-POJ-0320,INDIGO-ORG-0121,,,,
INDIGO-POJ-0321,INDIGO-ORG-0190,Other,Programme leader,,
INDIGO-POJ-0321,INDIGO-ORG-0181,Other,Design and technical partner,,
INDIGO-POJ-0321,INDIGO-ORG-1644,Other,Design and technical partner,,
INDIGO-POJ-0321,INDIGO-ORG-0183,Other,Evaluator,,
INDIGO-POJ-0321,INDIGO-ORG-0121,Other,,,
INDIGO-POJ-0323,INDIGO-ORG-0063,,,,
INDIGO-POJ-0323,INDIGO-ORG-1652,,,,
INDIGO-POJ-0324,INDIGO-ORG-1662,Other,Partnership intermediation,,
INDIGO-POJ-0324,INDIGO-ORG-1663,Other,Independent outcome verification,,
INDIGO-POJ-0325,INDIGO-ORG-0018,,,,
INDIGO-POJ-0325,INDIGO-ORG-0042,,,,
INDIGO-POJ-0326,INDIGO-ORG-1673,Other,Evaluators,,
INDIGO-POJ-0326,INDIGO-ORG-0018,Technical assistance,Structurers,,
INDIGO-POJ-0327,INDIGO-ORG-0018,Impact bond investment structure,,,
INDIGO-POJ-0328,INDIGO-ORG-0018,,,,
INDIGO-POJ-0329,INDIGO-ORG-0018,,,,
INDIGO-POJ-0329,INDIGO-ORG-0042,,,,
INDIGO-POJ-0330,INDIGO-ORG-0018,,,,
INDIGO-POJ-0331,INDIGO-ORG-0018,Impact bond investment structure,,,
INDIGO-POJ-0332,INDIGO-ORG-0018,Impact bond investment structure,,,
INDIGO-POJ-0333,INDIGO-ORG-0018,Impact bond investment structure,,,BNP Paribas supported ANDES in the structuring and negotiation of this impact contract.
INDIGO-POJ-0334,INDIGO-ORG-1696,Legal counsel,,,
INDIGO-POJ-0338,INDIGO-ORG-0018,Impact bond investment structure,,,BNP Paribas structured and financed the start-upâ€™s impact bond and helped raise funds.
