Project ID,Id,Organisation ID - (Value),Organisation Role Category - (Value),Investment Commitment - Currency - (Value),Investment Commitment - Amount - Min - (Value),Investment Commitment - Amount - Exact - (Value),Investment Commitment - Amount - Max - (Value),Investment Commitment - Amount USD - Min - (Value),Investment Commitment - Amount USD - Exact - (Value),Investment Commitment - Amount USD - Max - (Value),Maximum Potential loss - (Value),Maximum Potential Return Type - (Value),Maximum Potential Return - (Value),Investor Repayment - (Value),Investment Type - (Value),Sources,Notes
INDIGO-POJ-0094,investment2,INDIGO-ORG-0334,,,,,,,,,,,,,risk share payment in case of underperformance,,risk share payment in case of underperformance
INDIGO-POJ-0095,investment1,INDIGO-ORG-0097,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0095,investment2,INDIGO-ORG-0098,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0095,investment3,INDIGO-ORG-0009,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0095,investment4,INDIGO-ORG-0100,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0095,investment5,INDIGO-ORG-0101,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0095,investment6,INDIGO-ORG-0310,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0096,investment1,INDIGO-ORG-0097,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0096,investment2,INDIGO-ORG-0098,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0096,investment3,INDIGO-ORG-0009,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0096,investment4,INDIGO-ORG-0099,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0096,investment5,INDIGO-ORG-0100,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0096,investment6,INDIGO-ORG-0101,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0097,investment1,INDIGO-ORG-0562,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment2,INDIGO-ORG-0877,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment3,INDIGO-ORG-0878,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment4,INDIGO-ORG-0879,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment5,INDIGO-ORG-0880,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment6,INDIGO-ORG-0422,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment7,INDIGO-ORG-0881,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment8,INDIGO-ORG-0882,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment9,INDIGO-ORG-0883,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment10,INDIGO-ORG-0884,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment11,INDIGO-ORG-0885,,,,,,,,,,,,,,,
INDIGO-POJ-0097,investment12,INDIGO-ORG-0100,,,,,,,,,,,,,,,
INDIGO-POJ-0098,investment1,INDIGO-ORG-0038,,,,,,,,,,,,,,,
INDIGO-POJ-0099,investment1,INDIGO-ORG-1036,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0099,investment2,INDIGO-ORG-1037,,,,,,,,,,,,,subordinate loan,,
INDIGO-POJ-0100,investment1,INDIGO-ORG-0929,,USD,,9000000,,,9000000,,,,,,philanthropic investment,,
INDIGO-POJ-0101,investment1,INDIGO-ORG-0099,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0101,investment2,INDIGO-ORG-0111,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0101,investment3,INDIGO-ORG-0629,,,,,,,,,,,,,senior loan,,
INDIGO-POJ-0101,investment4,INDIGO-ORG-0856,,,,,,,,,,,,,deferred fees,,
INDIGO-POJ-0101,investment5,INDIGO-ORG-0622,,,,,,,,,,,,,deferres fees,,
INDIGO-POJ-0102,investment1,INDIGO-ORG-0481,,,,,,,,,,,,,,,
INDIGO-POJ-0102,investment2,INDIGO-ORG-0611,,,,,,,,,,,,,,,
INDIGO-POJ-0103,investment1,INDIGO-ORG-0891,,USD,,450000,,,450000,,,,,,philanthropic investment,,
INDIGO-POJ-0104,investment1,INDIGO-ORG-0018,,,,,,,,,,,,,,,
INDIGO-POJ-0104,investment2,INDIGO-ORG-0097,,,,,,,,,,,,,,,
INDIGO-POJ-0104,investment3,INDIGO-ORG-0302,,,,,,,,,,,,,,,
INDIGO-POJ-0104,investment4,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0104,investment5,INDIGO-ORG-0304,,,,,,,,,,,,,,,
INDIGO-POJ-0105,investment1,INDIGO-ORG-0294,,USD,,790000,,,790000,,,,,,loan,,
INDIGO-POJ-0106,investment1,INDIGO-ORG-0097,,,,,,,,,,,,,,,
INDIGO-POJ-0106,investment2,INDIGO-ORG-0680,,,,,,,,,,,,,,,
INDIGO-POJ-0106,investment3,INDIGO-ORG-0681,,,,,,,,,,,,,,,
INDIGO-POJ-0107,investment1,INDIGO-ORG-0166,,,,,,,,,,,,,,,
INDIGO-POJ-0107,investment2,INDIGO-ORG-0167,,,,,,,,,,,,,,,
INDIGO-POJ-0108,investment1,INDIGO-ORG-0263,,USD,,142000,,,142000,,,,,,,,
INDIGO-POJ-0111,investment1,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0111,investment2,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0111,investment3,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0111,investment4,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0111,investment5,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0111,investment6,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0111,investment7,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0111,investment8,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0111,investment9,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0111,investment10,INDIGO-ORG-0690,,,,,,,,,,,,,,,
INDIGO-POJ-0112,investment1,INDIGO-ORG-0538,,GBP,,500000,,,643519.9554,,,,,,,,
INDIGO-POJ-0113,investment1,INDIGO-ORG-0146,,,,,,,,,,,,,,,
INDIGO-POJ-0113,investment2,INDIGO-ORG-0186,,,,,,,,,,,,,,,
INDIGO-POJ-0113,investment3,INDIGO-ORG-0008,,GBP,,200000,,,,,,,,,,,
INDIGO-POJ-0113,investment4,INDIGO-ORG-1205,,,,,,,,,,,,,,,
INDIGO-POJ-0114,investment1,INDIGO-ORG-1547,,,,,,,,,,,,,,,
INDIGO-POJ-0116,investment1,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0116,investment2,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0116,investment3,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0116,investment4,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0116,investment5,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0116,investment6,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0116,investment7,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0116,investment8,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0116,investment9,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0116,investment10,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0117,investment1,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0117,investment2,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0117,investment3,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0117,investment4,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0117,investment5,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0117,investment6,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0117,investment7,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0117,investment8,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0117,investment9,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0117,investment10,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0118,investment1,INDIGO-ORG-0008,,,,,,,,,,,,,,,
INDIGO-POJ-0119,investment1,INDIGO-ORG-0322,,,,,,,,,,,,,,,
INDIGO-POJ-0119,investment2,INDIGO-ORG-0059,,,,,,,,,,,,,,,
INDIGO-POJ-0119,investment3,INDIGO-ORG-0324,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment1,INDIGO-ORG-1304,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment2,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment3,INDIGO-ORG-1305,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment4,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment5,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment6,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment7,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment8,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment9,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment10,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment11,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment12,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment13,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0120,investment14,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0121,investment1,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0121,investment2,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0121,investment3,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0121,investment4,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0121,investment5,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0121,investment6,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0121,investment7,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0121,investment8,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0121,investment9,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0121,investment10,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0123,investment1,INDIGO-ORG-0008,,,,,,,,,,,,,,,
INDIGO-POJ-0123,investment2,INDIGO-ORG-0001,,,,,,,,,,,,,,,
INDIGO-POJ-0124,investment1,INDIGO-ORG-0008,,,,,,,,,,,,,,,
INDIGO-POJ-0126,investment1,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0126,investment2,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0126,investment3,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0126,investment4,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0126,investment5,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0126,investment6,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0126,investment7,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0126,investment8,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0126,investment9,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0126,investment10,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0127,investment1,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0127,investment2,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0127,investment3,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0127,investment4,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0127,investment5,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0127,investment6,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0127,investment7,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0127,investment8,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0127,investment9,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0127,investment10,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0128,investment1,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0128,investment2,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0128,investment3,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0128,investment4,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0128,investment5,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0128,investment6,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0128,investment7,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0128,investment8,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0128,investment9,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0128,investment10,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0129,investment1,INDIGO-ORG-1547,,,,,,,,,,,,,,,
INDIGO-POJ-0130,investment1,INDIGO-ORG-1304,,,,,,,,,,,,,,,
INDIGO-POJ-0130,investment2,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0130,investment3,INDIGO-ORG-1305,,,,,,,,,,,,,,,
INDIGO-POJ-0130,investment4,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0130,investment5,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0130,investment6,INDIGO-ORG-0266,,,,,,,,,,,,,,,
INDIGO-POJ-0130,investment7,INDIGO-ORG-0132,,,,,,,,,,,,,,,
INDIGO-POJ-0130,investment8,INDIGO-ORG-0269,,,,,,,,,,,,,,,
INDIGO-POJ-0130,investment9,INDIGO-ORG-0270,,,,,,,,,,,,,,,
INDIGO-POJ-0130,investment10,INDIGO-ORG-0271,,,,,,,,,,,,,,,
INDIGO-POJ-0131,investment1,INDIGO-ORG-0008,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0131,investment2,INDIGO-ORG-0007,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0131,investment3,INDIGO-ORG-0172,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0131,investment4,INDIGO-ORG-0084,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0131,investment5,INDIGO-ORG-0169,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0131,investment6,INDIGO-ORG-0170,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0132,investment1,INDIGO-ORG-0132,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0132,investment2,INDIGO-ORG-1039,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0132,investment3,INDIGO-ORG-0084,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0132,investment4,INDIGO-ORG-1038,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0133,investment1,INDIGO-ORG-0010,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0133,investment2,INDIGO-ORG-0008,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment3,INDIGO-ORG-1304,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0133,investment4,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment5,INDIGO-ORG-1305,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment6,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment7,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment8,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment9,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment10,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment11,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment12,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment13,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment14,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment15,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0133,investment16,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment1,INDIGO-ORG-0007,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment2,INDIGO-ORG-1304,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment3,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment4,INDIGO-ORG-1305,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment5,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment6,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment7,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment8,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment9,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment10,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment11,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment12,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment13,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment14,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0134,investment15,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0135,investment1,INDIGO-ORG-0381,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0135,investment2,INDIGO-ORG-0374,,,,,,,,,,,,,,,
INDIGO-POJ-0136,investment1,INDIGO-ORG-0007,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0136,investment2,INDIGO-ORG-0008,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0136,investment3,INDIGO-ORG-0049,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0137,investment1,INDIGO-ORG-0010,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment2,INDIGO-ORG-0132,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment3,INDIGO-ORG-0007,,,,,,,,,,,,,Loan,,
INDIGO-POJ-0137,investment4,INDIGO-ORG-0008,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment5,INDIGO-ORG-0266,,,,,,,,,,,,,Quasi-equity,,
INDIGO-POJ-0137,investment6,INDIGO-ORG-1304,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment7,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment8,INDIGO-ORG-1305,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment9,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment10,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment11,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment12,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment13,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment14,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment15,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment16,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment17,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment18,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment19,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment20,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment21,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment22,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0137,investment23,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0138,investment1,INDIGO-ORG-0373,,GBP,,3000000,,,4738984.709,,,,,,,,
INDIGO-POJ-0139,investment1,INDIGO-ORG-0483,,,,,,,,,,,,,,,
INDIGO-POJ-0139,investment2,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0140,investment1,INDIGO-ORG-0266,,,,,,,,,,,,,,,
INDIGO-POJ-0140,investment2,INDIGO-ORG-0798,,,,,,,,,,,,,,,
INDIGO-POJ-0140,investment3,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0140,investment4,INDIGO-ORG-0799,,,,,,,,,,,,,,,
INDIGO-POJ-0140,investment5,INDIGO-ORG-0800,,,,,,,,,,,,,,,
INDIGO-POJ-0140,investment6,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0141,investment1,INDIGO-ORG-0289,,,,,,,,,,,,,,,
INDIGO-POJ-0141,investment2,INDIGO-ORG-1304,,,,,,,,,,,,,,,
INDIGO-POJ-0141,investment3,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0141,investment4,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0141,investment5,INDIGO-ORG-1305,,,,,,,,,,,,,,,
INDIGO-POJ-0142,investment1,INDIGO-ORG-0274,,,,,,,,,,,,,,,
INDIGO-POJ-0143,investment1,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0143,investment2,INDIGO-ORG-1304,,,,,,,,,,,,,,,
INDIGO-POJ-0143,investment3,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0143,investment4,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0143,investment5,INDIGO-ORG-1305,,,,,,,,,,,,,,,
INDIGO-POJ-0144,investment1,INDIGO-ORG-0596,,GBP,,1700000,,,2685424.668,,,,,,,,
INDIGO-POJ-0145,investment1,INDIGO-ORG-0138,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment1,INDIGO-ORG-0266,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment2,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment3,INDIGO-ORG-0132,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment4,INDIGO-ORG-0995,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment5,INDIGO-ORG-1304,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment6,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment7,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment8,INDIGO-ORG-1305,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment9,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment10,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment11,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment12,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment13,INDIGO-ORG-0641,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment14,INDIGO-ORG-0303,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment15,INDIGO-ORG-1307,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment16,INDIGO-ORG-1221,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment17,INDIGO-ORG-1308,,,,,,,,,,,,,,,
INDIGO-POJ-0146,investment18,INDIGO-ORG-1309,,,,,,,,,,,,,,,
INDIGO-POJ-0147,investment1,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0147,investment2,INDIGO-ORG-0995,,,,,,,,,,,,,,,
INDIGO-POJ-0148,investment1,INDIGO-ORG-0132,,,,,,,,,,,,,Loan,,
INDIGO-POJ-0148,investment2,INDIGO-ORG-0704,,,,,,,,,,,,,Loan,,
INDIGO-POJ-0148,investment3,INDIGO-ORG-0127,,,,,,,,,,,,,Equity investment,,
INDIGO-POJ-0149,investment1,INDIGO-ORG-0008,,,,,,,,,,,,,Loan,,
INDIGO-POJ-0149,investment2,INDIGO-ORG-0433,,,,,,,,,,,,,Loan,,
INDIGO-POJ-0149,investment3,INDIGO-ORG-0431,,,,,,,,,,,,,Equity investment,,
INDIGO-POJ-0150,investment1,INDIGO-ORG-1304,,,,,,,,,,,,,,,
INDIGO-POJ-0150,investment2,INDIGO-ORG-1295,,,,,,,,,,,,,,,
INDIGO-POJ-0150,investment3,INDIGO-ORG-0268,,,,,,,,,,,,,,,
INDIGO-POJ-0150,investment4,INDIGO-ORG-1305,,,,,,,,,,,,,,,
INDIGO-POJ-0150,investment5,INDIGO-ORG-0049,,,,,,,,,,,,,,,
INDIGO-POJ-0150,investment6,INDIGO-ORG-0547,,,,,,,,,,,,,,,
INDIGO-POJ-0150,investment7,INDIGO-ORG-1306,,,,,,,,,,,,,,,
INDIGO-POJ-0150,investment8,INDIGO-ORG-1222,,,,,,,,,,,,,,,
INDIGO-POJ-0150,investment9,INDIGO-ORG-0641,,,,,,,,,,,,,,,
