Project ID,Service Provision ID - (Value),Location - Name - (Value),Location - Postcode - (Value),Location - Country - (Value),Lat/Lng - Lat - (Value),Lat/Lng - Lng - (Value),Adminstrative geography - Name - (Value),Adminstrative geography - Code Type - (Value),Adminstrative geography - Code - (Value),Sources,Notes
INDIGO-POJ-0001,serviceprovision1,"Buenos Aires, Argentina",,AR,-34.580612,-58.493234,,,,,
INDIGO-POJ-0002,,"Adelaide, South Australia",,AU,-34.948448,138.624324,,,,,
INDIGO-POJ-0003,deliverylocation1,"New South Wales, Australia",,AU,-33.947645,151.166437,,,,,
INDIGO-POJ-0004,,Inner city Melbourne,,AU,-37.840935,144.946457,,,,,
INDIGO-POJ-0005,deliverylocation1,"New South Wales, Australia",,AU,-33.947645,151.166437,,,,,
INDIGO-POJ-0006,,"Sydney, New South Wales",,AU,-33.947645,151.166437,,,,,
INDIGO-POJ-0007,,"Western NSW and Nepean Blue Mountains, New South Wales, Australia",,AU,-33.947645,151.166437,,,,,
INDIGO-POJ-0008,,"Townsville, South East Queensland, Australia",,AU,-27.466156,153.100209,,,,,
INDIGO-POJ-0009,,"Brisbane, Australia",,AU,-27.466156,153.100209,,,,,
INDIGO-POJ-0010,,Upper Austria (federal state),,AT,48.207284,13.995691,,,,,
INDIGO-POJ-0011,,Brussels,,BE,50.840974,4.350059,,,,,
INDIGO-POJ-0012,,"Antwerp, Belgium",,BE,51.222394,4.394204,,,,,
INDIGO-POJ-0013,,"Flanders, Belgium (East Flanders and West Flanders)",,BE,51.13038,3.336307,,,,,
INDIGO-POJ-0014,,"6 provinces (Svay Rieng, Kandal, Prey Veng, Kampong Thom, Siem Reap and Oddar Meanchey), Cambodia",,KH,11.504921,104.839053,,,,,
INDIGO-POJ-0015,servicedelivery1,Cameroon,,CM,3.792505,11.490655,,,,,
INDIGO-POJ-0016,,Cameroon (Nationwide),,CM,3.792505,11.490655,,,,,
INDIGO-POJ-0017,,"Sasketchewan, Canada",,CA,50.436002,-104.623263,,,,,
INDIGO-POJ-0018,,"Toronto and Vancouver, Canada",,CA,49.251304,-123.140367,,,,,
INDIGO-POJ-0019,,"British Columbia, Saskatchewan, Ontario, Canada",,CA,49.353696,-84.214174,,,,,
INDIGO-POJ-0020,,"Saskatchewan, Canada",,CA,52.118251,-106.678255,,,,,
INDIGO-POJ-0021,,"Estacion Central, Santiago de Chile, Chile",,CL,-33.458329,-70.621472,,,,,
INDIGO-POJ-0022,serviceprovision1,"Cali, Colombia",,CO,3.467672,-76.522923,,,,,
INDIGO-POJ-0023,deliverylocation1,Bogotá,,CO,4.585953,-74.095267,,,,,
INDIGO-POJ-0023,deliverylocation2,Cali,,CO,3.359889,-76.638565,,,,,
INDIGO-POJ-0023,deliverylocation3,Pereira,,CO,4.81429,-75.69464,,,,,
INDIGO-POJ-0024,,Finland (Nationwide),,FI,60.192059,24.945831,,,,,
INDIGO-POJ-0025,,Helsinki,,FI,60.192059,24.945831,,,,,
INDIGO-POJ-0026,,"Hauts de France, Occitanie, France",,FR,43.607936,1.425773,,,,,
INDIGO-POJ-0027,,"Ile-de-France (Ile-Saint-Denis and Val d'Oise), France",,FR,48.944709,2.182342,,,,,
INDIGO-POJ-0028,,"Ile-de-France, Hauts-de-France, Normandie, Grand Est, Nouvelle Aquitaine, PACA, Occitanie, Centre-Val de Loire, Pays de la Loire, France",,FR,49.485351,0.096833,,,,,
INDIGO-POJ-0029,Appentis d'Auteil,"Loire-Atlantique, France",,FR,47.278,1.8158,,,,,
INDIGO-POJ-0030,,"Quartiers prioritaires de la Politique de la Ville, France ",,FR,48.813878,2.394135,,,,,
INDIGO-POJ-0031,,"Ariège, Allier, Saone-et-Loire, Nièvre, Hautes-Alpes, Alpes de Haute-Provence, France",,FR,48.815241,2.348448,,,,,
INDIGO-POJ-0032,,"Mannheim, Germany",,DE,49.496351,8.478574,,,,,
INDIGO-POJ-0033,,"Augsburg, Germany",,DE,48.363223,10.895543,,,,,
INDIGO-POJ-0034,,Osnabrück,,DE,52.262237,8.047242,,,,,
INDIGO-POJ-0035,,"Rajasthan, India",,IN,26.881736,75.826324,,,,,
INDIGO-POJ-0036,servicedelivery1,Gujarat,,IN,22.309425,72.13623,,,,,
INDIGO-POJ-0036,servicedelivery2,Mumbai,,IN,19.07609,72.877426,,,,,
INDIGO-POJ-0036,servicedelivery3,Uttar Pradesh,,IN,28.207609,79.82666,,,,,
INDIGO-POJ-0036,servicedelivery4,NCR Delhi,,IN,28.6448,77.216721,,,,,
INDIGO-POJ-0037,servicedelivery1,"Rajasthan, India",,IN,26.881736,75.826324,,,,,
INDIGO-POJ-0038,,Israel,,IL,32.073019,34.837374,,,,,
INDIGO-POJ-0039,,"Haifa and Tel Aviv, Israel",,IL,32.085567,34.790847,,,,,
INDIGO-POJ-0040,,"Hachioji City, Japan",,JP,35.660269,139.282029,,,,,
INDIGO-POJ-0041,,"Hiroshima Prefecture and 6 cities (Takehara City, Onomichi City, Fukuyama City, Fuchu City, Miyoshi City, Kashihara City)",,JP,34.405387,132.469555,,,,,
INDIGO-POJ-0042,,"Kobe City, Japan",,JP,34.691848,135.194444,,,,,
INDIGO-POJ-0043,,Kenya,,KE,1.1874,35.177136,,,,,
INDIGO-POJ-0043,,Uganda,,UG,1.373333,32.290275,,,,,
INDIGO-POJ-0044,,"Eindhoven, the Netherlands",,NL,51.430376,5.481915,,,,,
INDIGO-POJ-0045,,"Rotterdam, the Netherlands",,NL,51.916892,4.454617,,,,,
INDIGO-POJ-0046,,"Utrecht, the Netherlands",,NL,52.096096,5.102927,,,,,
INDIGO-POJ-0047,,The Netherlands,,NL,51.417789,5.405177,,,,,
INDIGO-POJ-0048,,"Utrecht, the Netherlands",,NL,52.096096,5.102927,,,,,
INDIGO-POJ-0049,,"Venlo, The Netherlands",,NL,51.367489,6.174235,,,,,
INDIGO-POJ-0050,,The Netherlands,,NL,51.417789,5.405177,,,,,
INDIGO-POJ-0051,,"The Hague, The Netherlands",,NL,52.078603,4.262578,,,,,
INDIGO-POJ-0052,,The Netherlands,,NL,52.361243,4.888519,,,,,
INDIGO-POJ-0053,,"Enschede, The Netherlands",,NL,52.212981,6.893665,,,,,
INDIGO-POJ-0054,,"Rotterdam, the Netherlands",,NL,51.916892,4.454617,,,,,
INDIGO-POJ-0055,,"Wiri (Auckland), New Zealand",,NZ,-36.863848,174.811828,,,,,
INDIGO-POJ-0056,,"Six Auckland suburbs of Manukau, Manuwera, Clendon, Papakura, Pukekohe and Waiuku.",,NZ,-36.863848,174.811828,,,,,
INDIGO-POJ-0057,,"Maiduguri, Nigeria",,NG,11.833333,13.15,,,,,
INDIGO-POJ-0057,,"Kinshasa, Democratic Republic of Congo",,CD,-4.322447,15.307045,,,,,
INDIGO-POJ-0057,,"Mopti, Mali",,ML,14.4843,-4.18296,,,,,
INDIGO-POJ-0058,,"Ramallah, Palestine",,PS,31.848581,35.257021,,,,,
INDIGO-POJ-0059,,"Peruvian Amazon, Peru",,PE,-11.777285,-75.838884,,,,,
INDIGO-POJ-0060,deliverylocation1,"Porto, Portugal",,PT,41.142888,-8.61375,,,,,
INDIGO-POJ-0061,deliverylocation1,"Fundão, Portugal",,PT,40.141014,-7.500945,,,,,
INDIGO-POJ-0062,deliverylocation1,"Porto, Portugal",,PT,41.142888,-8.61375,,,,,
INDIGO-POJ-0063,,"Lisbon, Portugal",,PT,38.678763,-9.119426,,,,,
INDIGO-POJ-0064,serviceprovision1,"Grândola, Portugal",,PT,38.17718,-8.56675,,,,,
INDIGO-POJ-0065,serviceprovision1,Amarante,,PT,41.2666656,-8.083333,,,,,
INDIGO-POJ-0065,serviceprovision2,Braga,,PT,41.55032,-8.42005,,,,,
INDIGO-POJ-0065,serviceprovision3,Matosinhos,,PT,41.18207,-8.68908,,,,,
INDIGO-POJ-0065,serviceprovision4,Guimarães,,PT,41.44443,-8.29619,,,,,
INDIGO-POJ-0065,serviceprovision5,Vila nova de Famalicão,,PT,41.4,-8.517,,,,,
INDIGO-POJ-0066,serviceprovision1,"Évora, Alentejo",,PT,38.56667,-7.9,,,,,
INDIGO-POJ-0067,serviceprovision1,Central Portugal,,PT,39.599869,-8.073758,,,,,
INDIGO-POJ-0068,serviceprovision1,North Portugal,,PT,41.325908,-7.693214,,,,,
INDIGO-POJ-0069,serviceprovision1,"Alentejo, Portugal",,PT,38.236697,-8.297958,,,,,
INDIGO-POJ-0070,serviceprovision1,"Coimbra, Central Portugal",,PT,39.599869,-8.073758,,,,,
INDIGO-POJ-0071,serviceprovision1,"Porto, North Portugal",,PT,41.325908,-7.693214,,,,,
INDIGO-POJ-0072,serviceprovision1,Northern Portugal,,PT,41.325908,-7.693214,,,,,
INDIGO-POJ-0073,,"Atlantis and Delft, Western Cape, South Africa",,ZA,-33.956849,18.45388,,,,,
INDIGO-POJ-0074,,South Africa (National),,ZA,-26.195246,28.034088,,,,,
INDIGO-POJ-0075,,Gyeonggi Province (South Korea),,KR,37.7755438,127.247619,,,,,
INDIGO-POJ-0076,,"Seoul, South Korea",,KR,37.640515,126.956112,,,,,
INDIGO-POJ-0077,,"Norrköping, Sweden",,SE,58.580921,16.188116,,,,,
INDIGO-POJ-0078,,"Bern, Switzerland",,CH,46.93932,7.448226,,,,,
INDIGO-POJ-0079,,"Khangalassky Municipal District, Republic of Sakha (Yakutia), Russia",,RU,68.947541,131.593892,,,,,
INDIGO-POJ-0080,,"Abu Dhabi, United Arab Emirates",,AE,24.431287,54.436058,,,,,
INDIGO-POJ-0081,,"Cairns, Queensland",,AU,-27.466156,153.100209,,,,,
INDIGO-POJ-0082,,"Salt Lake County, Utah, USA",,US,40.767878,-111.88677,,,,,
INDIGO-POJ-0083,,"Rikers Island, The Bronx, New York City",,US,40.742082,-73.996976,,,,,
INDIGO-POJ-0084,,"New York City and Rochester, New York, USA",,US,40.742082,-73.996976,,,,,
INDIGO-POJ-0085,,"Boston, Chelsea, and Springfield, Massachusetts, USA",,US,42.359881,-71.06468,,,,,
INDIGO-POJ-0086,,"Chicago, Illinois, USA",,US,41.854267,-87.612944,,,,,
INDIGO-POJ-0087,,"County of Cuyahoga, greater Cleveland area, Ohio, US",,US,41.50819,-81.699082,,,,,
INDIGO-POJ-0088,,"Greater Boston, Worcester, Springfield, Lowell, Quincy, Brockton, Framingham, Western Massachusetts, Cape Cod, Cape Ann",,US,42.333408,-71.054449,,,,,
INDIGO-POJ-0089,,"County of Santa Clara, California",,US,37.408108,-121.969941,,,,,
INDIGO-POJ-0090,,"29/46 counties in South Carolina, USA",,US,32.782005,-79.949822,,,,,
INDIGO-POJ-0091,,"Denver, Colorado, USA",,US,39.753166,-104.999956,,,,,
INDIGO-POJ-0092,,"Grand Rapids, Kent County, Michigan, USA",,US,42.97022,-85.662704,,,,,
INDIGO-POJ-0093,,"Connecticut, USA",,US,41.761509,-72.693269,,,,,
INDIGO-POJ-0094,serviceprovision1,"Rock Creek sewershed, Washington, DC, USA",,US,38.867713,-77.029891,,,,,
INDIGO-POJ-0095,,"Salt Lake County, Utah, USA",,US,40.767878,-111.88677,,,,,
INDIGO-POJ-0096,,"Salt Lake County, Utah, USA",,US,40.767878,-111.88677,,,,,
INDIGO-POJ-0097,,"Greater Boston Area, MA, USA",,US,42.366489,-71.060985,,,,,
INDIGO-POJ-0098,,"18 counties, Illinois, USA",,US,41.882994,-87.641837,,,,,
INDIGO-POJ-0099,,"LA County, California, United States",,US,34.070593,-118.270226,,,,,
INDIGO-POJ-0100,,"Tulsa County, Oklahoma, USA",,US,36.157461,-95.995257,,,,,
INDIGO-POJ-0101,,"Ventura County, California, USA",,US,34.293616,-119.351827,,,,,
INDIGO-POJ-0102,,"Alameda County, California, USA",,US,37.767637,-122.211496,,,,,
INDIGO-POJ-0103,,"Delmarva, Delaware, USA",,US,39.032262,-75.522146,,,,,
INDIGO-POJ-0104,,"New York and Massachusetts, USA",,US,40.742082,-73.996976,,,,,
INDIGO-POJ-0105,,"Jefferson County, Colorado, USA",,US,33.545539,-86.795946,,,,,
INDIGO-POJ-0106,,"Pueblo, Greeley, Grand Junction, Adams, and Broomfield counties, Colorado, USA",,US,39.76914,-105.011349,,,,,
INDIGO-POJ-0107,,"Denver County, Colorado, USA",,US,39.753166,-104.999956,,,,,
INDIGO-POJ-0108,,"Oklahoma County, Oklahoma, USA",,US,35.47701,-97.515599,,,,,
INDIGO-POJ-0109,,"Gloucestershire, South West, UK",,GB,51.871906,-2.238898,,,,,
INDIGO-POJ-0110,,"Lincolnshire, East Midlands, UK",,GB,53.105871,0.140931,,,,,
INDIGO-POJ-0111,deliverylocation1,"Birmingham, West Midlands",,GB,52.448868,-1.404985,,,,,
INDIGO-POJ-0112,serviceprovision1,"Bradford, United Kingdom",,GB,53.792343,-1.748399,,,,,
INDIGO-POJ-0113,location1,"London, United Kingdom",,GB,51.50953,-0.128534,,,,,"The service is delivered in the London neighborhoods of Southwark, Lambeth and Lewisham."
INDIGO-POJ-0114,deliverylocation1,"London, United Kingdom",,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0116,deliverylocation1,"Devon, South West, UK",,GB,50.67965,-4.141415,,,,,
INDIGO-POJ-0117,deliverylocation1,"London, UK",,GB,51.5072,0.1276,,,,,
INDIGO-POJ-0118,deliverylocation1,Staffordshire County Council,,GB,52.906002,-2.147913,,,,,
INDIGO-POJ-0119,,"Worcestershire, West Midlands",,GB,52.320179,-2.195592,,,,,
INDIGO-POJ-0120,deliverylocation1,North East: Newcastle Upon Tyne,,GB,54.978351,-1.622662,,,,,
INDIGO-POJ-0121,deliverylocation1,"Bristol City Council, North Somerset, Bath and North East Somerset, and South Gloucestershire LAs in the West of England",,GB,51.458022,-2.617396,,,,,
INDIGO-POJ-0122,,"The London Boroughs of Lewisham, Bromley, and Greenwich in South East London",,GB,51.464025,-0.01202,,,,,
INDIGO-POJ-0123,deliverylocation1,"Sheffield, South Yorkshire",,GB,53.387302,-1.466871,,,,,
INDIGO-POJ-0124,location1,"Camden, London, UK",,GB,51.5455,0.1628,,,,,
INDIGO-POJ-0126,deliverylocation1,"Yorkshire and Humber, UK",,GB,53.983092,-1.095964,,,,,
INDIGO-POJ-0126,deliverylocation2,"Grimsby, North East Lincolnshire",,GB,53.5675,0.0808,,,,,
INDIGO-POJ-0127,deliverylocation1,"Norfolk, East England, UK",,GB,52.642934,1.333781,,,,,
INDIGO-POJ-0128,deliverylocation1,"Surrey, South East England, UK",,GB,51.250372,-0.487522,,,,,
INDIGO-POJ-0129,,"London, United Kingdom",,GB,51.427852,-0.714476,,,,,
INDIGO-POJ-0130,deliverylocation1,"Essex, South East",,GB,52.011065,1.094789,,,,,
INDIGO-POJ-0131,deliverylocation1,"East Midlands: Leicester City Council, Leicestershire County Council (including Blaby DC, Charnwood BC, Harborough DC, Hinckley and Bosworth BC, Melton BC, NW Leicestershire DC and Oadby and Wigston BC), Derby City Council and Derbyshire County Council",,GB,52.78256,-1.463366,,,,,
INDIGO-POJ-0132,,"South West: Gloucestershire County Council and six district councils – Tewkesbury, Forest of Dean, Stroud, Cheltenham, Gloucester City and Cotswold",,GB,51.744066,-1.986861,,,,,
INDIGO-POJ-0133,deliverylocation1,"North West and London: Manchester City Council, Oldham Borough Council, Rochdale Borough Council – and London – Royal Borough of Greenwich",,GB,,,,,,,
INDIGO-POJ-0134,deliverylocation1,"Yorkshire and the Humber: Metropolitan Borough of Kirklees, Metropolitan Borough of Calderdale and City of Wakefield Council",,GB,53.64904,-1.78416,,,,,
INDIGO-POJ-0135,,North East: Newcastle City Council; Northumberland County Council; South Tyneside Council; North Tyneside Council; Gateshead; Durham County Council; and City of Sunderland,,GB,54.978351,-1.622662,,,,,
INDIGO-POJ-0136,,North West: Liverpool City Council and Knowsley Council,,GB,53.436297,-2.904849,,,,,
INDIGO-POJ-0137,deliverylocation1,"West Midlands: Birmingham City Council, Coventry City Council, Solihull Metropolitan Borough Council, Walsall Council, and Wyre Forest District Council",,GB,52.513157,-2.249884,,,,,
INDIGO-POJ-0138,,"Birmingham, West Midlands",,GB,52.473728,-1.916072,,,,,
INDIGO-POJ-0139,,"Cardiff and Newport, South Wales",,GB,51.475203,-3.233822,,,,,
INDIGO-POJ-0140,,Thames Valley,,GB,51.73253,-1.320603,,,,,
INDIGO-POJ-0141,deliverylocation1,"Stratford/Newham, East London",,GB,51.512249,0.039285,,,,,
INDIGO-POJ-0142,deliverylocation1,"Perth and Kinross, Scotland",,GB,56.193634,-3.42278,,,,,
INDIGO-POJ-0143,deliverylocation1,"Greater Merseyside, North West",,GB,53.406159,-3.019647,,,,,
INDIGO-POJ-0144,,"Nottingham, East Midlands",,GB,52.944049,-1.150239,,,,,
INDIGO-POJ-0145,,West London (six boroughs),,GB,51.499965,-0.385601,,,,,
INDIGO-POJ-0146,deliverylocation1,"Greater Manchester, North West",,GB,53.480549,-2.242834,,,,,
INDIGO-POJ-0147,,"Shoreditch, East London",,GB,51.512249,0.039285,,,,,
INDIGO-POJ-0148,,"East and South East London (""ESE""): City of London, Croydon, Redbridge, Tower Hamlets, Hackney, Southwark, Lambeth, Lewisham, Greenwich and Newham.",,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0149,,"West and North West London (""WNW""): Kensington & Chelsea, Hammersmith & Fulham, Wandsworth, Camden, Islington, Barnet, Ealing, Heathrow, Hounslow, Hillingdon, Brent, Harrow and Richmond",,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0150,deliverylocation1,"Manchester, North West",,GB,53.489598,-2.256685,,,,,
INDIGO-POJ-0151,deliverylocation1,"Northamptonshire, East Midlands, UK",,GB,52.461286,-1.073743,,,,,
INDIGO-POJ-0152,deliverylocation1,"London, United Kingdom",,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0153,,Peterborough City Council,,GB,52.588227,-0.264768,,,,,
INDIGO-POJ-0154,deliverylocation1,"Greater Manchester, United Kingdom",,GB,53.480549,-2.242834,,,,,
INDIGO-POJ-0155,,"Newcastle and Gateshead, United Kingdom",,GB,54.973052,-1.610169,,,,,
INDIGO-POJ-0156,deliverylocation1,Great Britain ,,GB,51.505479,-0.128516,,,,,
INDIGO-POJ-0157,deliverylocation1,"Brent, London, UK",,GB,51.529506,-0.233548,,,,,
INDIGO-POJ-0158,,"Brighton, United Kingdom",,GB,50.819058,-0.148966,,,,,
INDIGO-POJ-0159,,"Bristol, United Kingdom",,GB,51.458022,-2.617396,,,,,
INDIGO-POJ-0160,deliverylocation1,"Lambeth, London, UK",,GB,51.486605,-0.111199,,,,,
INDIGO-POJ-0161,deliverylocation1,North Somerset,,GB,51.414928,-2.79989,South West,,,,
INDIGO-POJ-0162,deliverylocation1,"Royal Borough of Kensington and Chelsea, West London, UK",,GB,51.4991,0.1938,,,,,
INDIGO-POJ-0163,,"Sheffield, United Kingdom",,GB,53.387302,-1.466871,,,,,
INDIGO-POJ-0164,,"London, United Kingdom",,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0165,deliverylocation1,Greater Manchester,,GB,53.480549,-2.242834,,,,,
INDIGO-POJ-0166,deliverylocation1,"Greater Merseyside, United Kingdom",,GB,53.406159,-3.019647,,,,,
INDIGO-POJ-0167,serviceprovision1,Cornwall County Council,TR1 3AY,GB,50.246943,-5.086553,,,,,
INDIGO-POJ-0168,deliverylocation1,Doncaster Metropolitan Borough Council,DN1 3BU,GB,53.52282,-1.128462,,,,,
INDIGO-POJ-0169,deliverylocation1,London,,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0169,deliverylocation2,West Midlands,,GB,52.489471,-1.898575,,,,,
INDIGO-POJ-0169,deliverylocation3,Kent,,GB,51.279999,1.08,,,,,
INDIGO-POJ-0170,deliverylocation1,London Borough of Hounslow ,TW3 3EB,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0171,deliverylocation1,Cheshire West and Chester Council,CH1 2NP,GB,53.473091,-2.773581,,,,,
INDIGO-POJ-0172,deliverylocation1,Nottingham City Council,NG2 3NG,GB,52.944049,-1.150239,,,,,
INDIGO-POJ-0172,deliverylocation2,Nottinghamshire County Council,NG2 7QP,GB,52.944049,-1.150239,,,,,
INDIGO-POJ-0173,deliverylocation1,Staffordshire County Council,ST16 2DH,GB,52.723881,-2.103353,,,,,
INDIGO-POJ-0174,Family Lives,Royal Borough of Kensington and Chelsea (London),W10 5ND,GB,51.509953,-0.128534,,,,,
INDIGO-POJ-0174,Family Lives,Westminster City Council (London),NW8 8LF,GB,51.509953,-0.128534,,,,,
INDIGO-POJ-0175,serviceprovision1,Kirklees Metropolitan Borough Council,HD3 3JB,GB,53.64904,-1.78416,,,,,
INDIGO-POJ-0176,Twinings,London Boroughs of Haringey and Barnet,N22 8LE and NW9 4EW,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0177,deliverylocation1,Derbyshire County Council,,GB,52.78256,-1.463366,,,,,
INDIGO-POJ-0177,deliverylocation2,Northamptonshire County Council,,GB,52.2371,-0.8944,,,,,
INDIGO-POJ-0177,deliverylocation3,Worcestershire County Council,,GB,52.1936,-2.2216,,,,,
INDIGO-POJ-0177,deliverylocation4,Plymouth City Council,,GB,50.3755,-4.1427,,,,,
INDIGO-POJ-0178,deliverylocation1,Norfolk County Council,,GB,52.613969,0.886402,,,,,
INDIGO-POJ-0179,"Cromwood Housing, Kineara",Bexley Council,DA6 7AT,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0180,deliverylocation1,Plymouth City Council,PL3 6NP,GB,50.376289,-4.143841,,,,,
INDIGO-POJ-0181,South Yorkshire Housing ,Sheffield City Council,S1 2HH,GB,53.387302,-1.466871,,,,,
INDIGO-POJ-0182,deliverylocation1,London Borough of Brent,HA9 0FJ,GB,51.5597,-0.271,,,,,
INDIGO-POJ-0182,deliverylocation2,London Borough of Islington,N1 1XR,GB,51.546506,-0.105806,,,,,
INDIGO-POJ-0182,deliverylocation3,London Borough of Ealing,W5 2HL,GB,51.5,-0.3333,,,,,
INDIGO-POJ-0182,deliverylocation4,Enfield Council,EN1 3XA,GB,51.654827,-0.083599,,,,,
INDIGO-POJ-0182,deliverylocation5,Hackney Council,E8 1DY,GB,51.544205,-0.054215,,,,,
INDIGO-POJ-0182,deliverylocation6,Waltham Forest Council,E17 4JF,GB,51.588638,-0.011763,,,,,
INDIGO-POJ-0182,deliverylocation7,Norfolk County Council,,GB,52.630886,1.297355,,,,,
INDIGO-POJ-0183,deliverylocation1,Suffolk County Council,IP1 2BX,GB,52.32461,1.273456,,,,,
INDIGO-POJ-0184,deliverylocation1,Brent Council ,HA9 0FJ,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0184,deliverylocation2,Westminster City Council,NW8 8LF,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0184,deliverylocation3,Royal Borough of Kensington and Chelsea,W10 5ND,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0184,deliverylocation4,London Borough of Hammersmith and Fulham,W6 9JT,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0188,,Enfield Council ,EN1 3XA,GB,51.654827,-0.083599,,,,,
INDIGO-POJ-0189,,Shropshire,SY2 6ND,GB,52.477474,-2.03586,,,,,
INDIGO-POJ-0190,servicedelivery1,"West London Boroughs (Barnet, Brent, Ealing, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, and Westminster) ",,GB,51.50953,-0.128534,,,,,
INDIGO-POJ-0191,,Région Hauts-de-France,,FR,49.614003,2.799862,,,,,
INDIGO-POJ-0192,,Tower Hamlets,E14 2BG,GB,51.520261,-0.02934,,,,,
INDIGO-POJ-0193,serviceprovision1,Tower Hamlets,E14 2BG,GB,51.520261,-0.02934,,,,,
INDIGO-POJ-0194,,Telford & Wrekin Council,TF3 4EJ,GB,52.768555,-2.375587,,,,,
INDIGO-POJ-0194,,Worcestershire County Council,WR5 2NP,GB,52.192001,-2.22,,,,,
INDIGO-POJ-0194,,City of Wolverhampton Council,WV1 1SH,GB,52.59137,-2.110748,,,,,
INDIGO-POJ-0194,,Staffordshire County Council,ST16 2DH,GB,52.679935,-1.921781,,,,,
INDIGO-POJ-0194,,Dudley Council,DY1 1HF,GB,52.5,-2.08333,,,,,
INDIGO-POJ-0195,serviceprovision1,Birmingham,B1,GB,52.4862,-1.8904,,,,,
INDIGO-POJ-0195,serviceprovision2,Croydon,CR0,GB,51.3627,-0.0642,,,,,
INDIGO-POJ-0195,serviceprovision3,Durham,DH1,GB,54.786,-1.5682,,,,,
INDIGO-POJ-0195,serviceprovision4,Leeds,LS1,GB,53.8008,-1.5491,,,,,
INDIGO-POJ-0195,serviceprovision5,Nottingham,NG1,GB,52.9548,-1.1581,,,,,
INDIGO-POJ-0195,serviceprovision6,Rochdale,BL9,GB,53.6097,-2.1561,,,,,
INDIGO-POJ-0195,serviceprovision7,Surrey,GU10,GB,51.3148,-0.56,,,,,
INDIGO-POJ-0195,serviceprovision8,West Sussex,PO19,GB,50.825024,-0.383835,,,,,
INDIGO-POJ-0196,Apprentis d'Auteil,Gironde,,FR,44.8497,0.4502,,,,,
INDIGO-POJ-0197,serviceprovision1,"Bungoma, Kenya",,KE,0.569525,34.558376,,,,,
INDIGO-POJ-0197,serviceprovision2,"Busia, Kenya",,KE,0.46005,34.11169,,,,,
INDIGO-POJ-0197,serviceprovision3,"Homa Bay, Kenya",,KE,-0.52731,34.45714,,,,,
INDIGO-POJ-0197,serviceprovision4,"Kajiado, Kenya",,KE,-1.85238,36.77683,,,,,
INDIGO-POJ-0197,serviceprovision5,"Kakamega, Kenya",,KE,0.28422,34.75229,,,,,
