Project ID,Id,Organisation ID - (Value),Organisation Role Category - (Value),Intervention - (Value),Planned Service - Start - (Value),Planned Service - End - (Value),Actual Service - Start - (Value),Actual Service - End - (Value),Alterations to service - Description - (Value),Alterations to service - Reason - (Value),Sources,Notes
INDIGO-POJ-0172,serviceprovision1,INDIGO-ORG-1072,For-profit,"FutureImpact Coaches will work with young people with SEND and facing multiple barriers to:
• Complete an assessment and develop a Personal Action Plan, then review progress every 8-12 weeks
• To overcome problem behaviours
• Address barriers (including mental health, substance misuse, family, environmental, cultural, economic issues)
• Build capacity, resilience and confidence
• Identify ambitions/options for Progress
• Achieve a range of EET goals
• Sustain progression.",2018-08-01,2023-07-30,2018-08-01,,,,,
INDIGO-POJ-0173,Humankind,INDIGO-ORG-1074,Nonprofit/NGO,"The project works with families who have children and young people identified as children in need or with child protection plans, and where parental drug and alcohol use is an indicator of risk. The project will reduce parental drug/alcohol use and improve parenting to avert children becoming subject to a Child Protection Plan or Looked After Child; allowing the repatriation of children with their families and improving parenting skills.",2020-04-01,2027-03-31,2020-04-01,,,,,
INDIGO-POJ-0173,Addiction Dependency Solutions (ADS),INDIGO-ORG-1075,Nonprofit/NGO,"The project works with families who have children and young people identified as children in need or with child protection plans, and where parental drug and alcohol use is an indicator of risk. The project will reduce parental drug/alcohol use and improve parenting to avert children becoming subject to a Child Protection Plan or Looked After Child; allowing the repatriation of children with their families and improving parenting skills.",2018-04-01,2020-03-31,2018-04-01,2020-03-31,,,,
INDIGO-POJ-0174,Family Lives,INDIGO-ORG-1076,Nonprofit/NGO,Narrow the gap in school readiness between vulnerable children and their better off peers through a Parent Child Home Programme.,2019-06-01,2023-05-01,2019-06-01,2023-05-01,,,,
INDIGO-POJ-0175,serviceprovision1,INDIGO-ORG-1079,Nonprofit/NGO,"The project will address issues including drug and alcohol dependency, older age, homelessness and disability; factors which can contribute towards a person’s ability to successfully live independently. 

The service will provide support with areas of people’s lives which are affecting their health and wellbeing such as domestic violence, substance misuse and offending behaviour. 

By helping beneficiaries to access suitable accommodation and supporting them over a period of time to maintain their tenancy, they will experience positive outcomes such as improved health and wellbeing, increased income, reductions in offending behaviour, and improved access to services. Support will also be provided, where appropriate, to access education and employment which are key to achieving active citizenship, economic and social wellbeing.",2019-09-02,2024-09-30,2019-09-02,,,,,
INDIGO-POJ-0175,serviceprovision2,INDIGO-ORG-0788,Nonprofit/NGO,"The project will address issues including drug and alcohol dependency, older age, homelessness and disability; factors which can contribute towards a person’s ability to successfully live independently. 

The service will provide support with areas of people’s lives which are affecting their health and wellbeing such as domestic violence, substance misuse and offending behaviour. 

By helping beneficiaries to access suitable accommodation and supporting them over a period of time to maintain their tenancy, they will experience positive outcomes such as improved health and wellbeing, increased income, reductions in offending behaviour, and improved access to services. Support will also be provided, where appropriate, to access education and employment which are key to achieving active citizenship, economic and social wellbeing.",2019-09-02,2024-09-30,2019-09-02,,,,,
INDIGO-POJ-0175,serviceprovision3,INDIGO-ORG-0792,Nonprofit/NGO,"The project will address issues including drug and alcohol dependency, older age, homelessness and disability; factors which can contribute towards a person’s ability to successfully live independently. 

The service will provide support with areas of people’s lives which are affecting their health and wellbeing such as domestic violence, substance misuse and offending behaviour. 

By helping beneficiaries to access suitable accommodation and supporting them over a period of time to maintain their tenancy, they will experience positive outcomes such as improved health and wellbeing, increased income, reductions in offending behaviour, and improved access to services. Support will also be provided, where appropriate, to access education and employment which are key to achieving active citizenship, economic and social wellbeing.",2019-09-02,2024-09-30,2019-09-02,,,,,
INDIGO-POJ-0175,serviceprovision4,INDIGO-ORG-0789,Nonprofit/NGO,"The project will address issues including drug and alcohol dependency, older age, homelessness and disability; factors which can contribute towards a person’s ability to successfully live independently. 

The service will provide support with areas of people’s lives which are affecting their health and wellbeing such as domestic violence, substance misuse and offending behaviour. 

By helping beneficiaries to access suitable accommodation and supporting them over a period of time to maintain their tenancy, they will experience positive outcomes such as improved health and wellbeing, increased income, reductions in offending behaviour, and improved access to services. Support will also be provided, where appropriate, to access education and employment which are key to achieving active citizenship, economic and social wellbeing.",2019-09-02,2024-09-30,2019-09-02,,,,,
INDIGO-POJ-0175,serviceprovision5,INDIGO-ORG-0374,Nonprofit/NGO,"The project will address issues including drug and alcohol dependency, older age, homelessness and disability; factors which can contribute towards a person’s ability to successfully live independently. 

The service will provide support with areas of people’s lives which are affecting their health and wellbeing such as domestic violence, substance misuse and offending behaviour. 

By helping beneficiaries to access suitable accommodation and supporting them over a period of time to maintain their tenancy, they will experience positive outcomes such as improved health and wellbeing, increased income, reductions in offending behaviour, and improved access to services. Support will also be provided, where appropriate, to access education and employment which are key to achieving active citizenship, economic and social wellbeing.",2019-09-02,2024-09-30,2019-09-02,,,,,
INDIGO-POJ-0175,serviceprovision6,INDIGO-ORG-1080,Nonprofit/NGO,"The project will address issues including drug and alcohol dependency, older age, homelessness and disability; factors which can contribute towards a person’s ability to successfully live independently. 

The service will provide support with areas of people’s lives which are affecting their health and wellbeing such as domestic violence, substance misuse and offending behaviour. 

By helping beneficiaries to access suitable accommodation and supporting them over a period of time to maintain their tenancy, they will experience positive outcomes such as improved health and wellbeing, increased income, reductions in offending behaviour, and improved access to services. Support will also be provided, where appropriate, to access education and employment which are key to achieving active citizenship, economic and social wellbeing.",2019-09-02,2024-09-30,2019-09-02,,,,,
INDIGO-POJ-0175,serviceprovision7,INDIGO-ORG-0288,Nonprofit/NGO,"The project will address issues including drug and alcohol dependency, older age, homelessness and disability; factors which can contribute towards a person’s ability to successfully live independently. 

The service will provide support with areas of people’s lives which are affecting their health and wellbeing such as domestic violence, substance misuse and offending behaviour. 

By helping beneficiaries to access suitable accommodation and supporting them over a period of time to maintain their tenancy, they will experience positive outcomes such as improved health and wellbeing, increased income, reductions in offending behaviour, and improved access to services. Support will also be provided, where appropriate, to access education and employment which are key to achieving active citizenship, economic and social wellbeing.",2019-09-02,2024-09-30,2019-09-02,,,,,
INDIGO-POJ-0175,serviceprovision8,INDIGO-ORG-1081,Nonprofit/NGO,"The project will address issues including drug and alcohol dependency, older age, homelessness and disability; factors which can contribute towards a person’s ability to successfully live independently. 

The service will provide support with areas of people’s lives which are affecting their health and wellbeing such as domestic violence, substance misuse and offending behaviour. 

By helping beneficiaries to access suitable accommodation and supporting them over a period of time to maintain their tenancy, they will experience positive outcomes such as improved health and wellbeing, increased income, reductions in offending behaviour, and improved access to services. Support will also be provided, where appropriate, to access education and employment which are key to achieving active citizenship, economic and social wellbeing.",2019-09-02,2024-09-30,2019-09-02,,,,,
INDIGO-POJ-0175,serviceprovision9,INDIGO-ORG-0805,Nonprofit/NGO,"The project will address issues including drug and alcohol dependency, older age, homelessness and disability; factors which can contribute towards a person’s ability to successfully live independently. 

The service will provide support with areas of people’s lives which are affecting their health and wellbeing such as domestic violence, substance misuse and offending behaviour. 

By helping beneficiaries to access suitable accommodation and supporting them over a period of time to maintain their tenancy, they will experience positive outcomes such as improved health and wellbeing, increased income, reductions in offending behaviour, and improved access to services. Support will also be provided, where appropriate, to access education and employment which are key to achieving active citizenship, economic and social wellbeing.",2019-09-02,2024-09-30,2019-09-02,,,,,
INDIGO-POJ-0175,serviceprovision10,INDIGO-ORG-1082,Nonprofit/NGO,"The project will address issues including drug and alcohol dependency, older age, homelessness and disability; factors which can contribute towards a person’s ability to successfully live independently. 

The service will provide support with areas of people’s lives which are affecting their health and wellbeing such as domestic violence, substance misuse and offending behaviour. 

By helping beneficiaries to access suitable accommodation and supporting them over a period of time to maintain their tenancy, they will experience positive outcomes such as improved health and wellbeing, increased income, reductions in offending behaviour, and improved access to services. Support will also be provided, where appropriate, to access education and employment which are key to achieving active citizenship, economic and social wellbeing.",2019-09-02,2024-09-30,2019-09-02,,,,,
INDIGO-POJ-0176,Twinings,INDIGO-ORG-1084,Nonprofit/NGO,"Individual Placement Support employment services. A tailored, client-centred employment intervention for people with chronic health conditions. It involves the integration of vocational advisers within health teams to optimise return-to-work.",2019-05-01,2023-04-01,2019-05-01,,,,,
INDIGO-POJ-0177,serviceprovision1,INDIGO-ORG-1085,Nonprofit/NGO,"Pause aims to break the cycle of repeat removal by intervening at a point when the women have no children in their care and offers them a chance to take a pause from the usual periods of chaos, anger and reaction to care proceedings.

Pause helps them to focus on themselves with the purpose of supporting them to take control of their lives and to develop new skills and responses. To do this, they are required to take effective contraception during the intervention, thereby creating a space to pause, reflect, learn and aspire.",2020-02-03,2025-03-31,2020-02-03,,,,,
INDIGO-POJ-0177,serviceprovision2,INDIGO-ORG-1086,Nonprofit/NGO,"Pause aims to break the cycle of repeat removal by intervening at a point when the women have no children in their care and offers them a chance to take a pause from the usual periods of chaos, anger and reaction to care proceedings.

Pause helps them to focus on themselves with the purpose of supporting them to take control of their lives and to develop new skills and responses. To do this, they are required to take effective contraception during the intervention, thereby creating a space to pause, reflect, learn and aspire.",2020-02-03,2025-03-31,2020-02-03,,,,,
INDIGO-POJ-0177,serviceprovision3,INDIGO-ORG-1551,Nonprofit/NGO,,,,,,,,,
INDIGO-POJ-0177,serviceprovision4,INDIGO-ORG-1092,Nonprofit/NGO,,,,,,,,,
INDIGO-POJ-0178,serviceprovision1,INDIGO-ORG-0423,Nonprofit/NGO,"The intervention used is Family Functional Therapy – Child Welfare. It seeks to improve communication and supportiveness between parents or guardians and young people, while decreasing hostility.",2019-02-05,2024-02-29,2019-02-05,,,,,
INDIGO-POJ-0178,serviceprovision2,INDIGO-ORG-1552,Other,,,,,,,,,
INDIGO-POJ-0179,Cromwood Housing,INDIGO-ORG-1090,For-profit,"This proposal aims to reduce the numbers of single adults and childless couples at risk of homelessness living in temporary accommodation (TA), through delivery of individual support plans that will address an individual’s barriers to sustained housing",2019-11-01,2024-10-31,2019-11-01,,,,,
INDIGO-POJ-0179,Kineara,INDIGO-ORG-1091,Nonprofit/NGO,"This proposal aims to reduce the numbers of single adults and childless couples at risk of homelessness living in temporary accommodation (TA), through delivery of individual support plans that will address an individual’s barriers to sustained housing",2019-11-01,2024-10-31,2019-11-01,,,,,
INDIGO-POJ-0180,serviceprovision1,INDIGO-ORG-1092,Nonprofit/NGO,"Pause is an intensive, relationship-based support programme, delivered over 18 months.  The trauma informed support offered is practical (e.g. support accessing and engaging with benefit entitlement, debt advice, stable housing, primary care services – GP, dental, sexual health, etc), behavioural (e.g. development of behavioural regulation techniques, healthy relationships) and therapeutic (e.g. recovery from loss and trauma)",2019-04-01,2023-09-30,2019-04-01,,,,,
INDIGO-POJ-0181,South Yorkshire Housing ,INDIGO-ORG-1094,Nonprofit/NGO,Individual support to assist adults with mental health issues to live independently in the community,2019-11-28,2026-11-28,2019-11-28,,,,,
INDIGO-POJ-0182,serviceprovision1,INDIGO-ORG-1095,Nonprofit/NGO,Support worker model helping people into new accommodation or to sustain existing tenancies,2019-07-22,2024-09-30,2019-07-22,,,,,For Islington
INDIGO-POJ-0182,serviceprovision2,INDIGO-ORG-1067,Nonprofit/NGO,Support worker model helping people into new accommodation or to sustain existing tenancies,2019-07-22,2024-09-30,2019-07-22,,,,,For Ealing
INDIGO-POJ-0182,serviceprovision3,INDIGO-ORG-0692,Nonprofit/NGO,Support worker model helping people into new accommodation or to sustain existing tenancies,2019-07-22,2024-09-30,2019-07-22,,,,,For Brent
INDIGO-POJ-0182,serviceprovision4,INDIGO-ORG-0794,Nonprofit/NGO,Support worker model helping people into new accommodation or to sustain existing tenancies,2019-07-22,2024-09-30,2019-07-22,,,,,For Hackney
INDIGO-POJ-0182,serviceprovision5,INDIGO-ORG-1646,Government/Public Sector/Public Bank,,,,,,,,,
INDIGO-POJ-0182,serviceprovision6,INDIGO-ORG-1647,Nonprofit/NGO,,,,,,,,,
INDIGO-POJ-0182,serviceprovision7,INDIGO-ORG-1648,Nonprofit/NGO,,,,,,,,,
INDIGO-POJ-0183,serviceprovision1,INDIGO-ORG-0423,Nonprofit/NGO,"The intervention will reduce the number of older adolescents entering, and staying in care. This will be acomplished by:

- Intensive planned (and reactive) work by multi-disciplinary professionals working with the family network;
- trusted and sustained relationships between family and professionals;
- addresing the underlying issues of mental health, substance misuse, gangs, un-boundaried behaviour and acute family stress; and
- wrap-around support including full-time education/training/employment, respite care, positive activities and meeting the needs of adults.",2019-01-13,2024-12-31,2019-01-13,,,,,
INDIGO-POJ-0183,serviceprovision2,INDIGO-ORG-1552,,,,,,,,,,
INDIGO-POJ-0184,serviceprovision1,INDIGO-ORG-0811,Nonprofit/NGO,"The intervention is based around each child's Individual Support Plan, which has four components; informal engagement, formal engagement, developmental support, and Delivery Partner specialist support. 

WLZ has a broad range of delivery partners all working towards WLZ outcomes, which means they can enable each child to access the right support at the right time. ",2019-08-27,2024-07-31,2019-08-27,,,,,
INDIGO-POJ-0188,,INDIGO-ORG-0807,Nonprofit/NGO,Individual Placement Support aimed at getting people with mental health issues back or into competitively paid employment,2020-04,2024-04,2020-04,,,,,
INDIGO-POJ-0189,serviceprovision1,INDIGO-ORG-1153,Nonprofit/NGO,Individual Placement Support aimed at getting people with mental health issues back or into competitively paid employment,2020-04,2024-04,2020-04,,,,,
INDIGO-POJ-0190,serviceprovision1,INDIGO-ORG-1104,Nonprofit/NGO,Individual Placement Support Service to help find and sustain work for adults who have or have had Drug and Alcohol Treatment.,2019-01-02,2022-06-30,2019-01-02,,,,,
INDIGO-POJ-0191,,INDIGO-ORG-1128,,,,,,,,,,
INDIGO-POJ-0192,serviceprovision1,INDIGO-ORG-1154,Nonprofit/NGO,Delivering services using Individual Placement and Support principles to clients with learning disabilities in Tower Hamlets.,2020-07,2024-09,2020-07,,,,,The Tower Project Job Enterprise and Training Services (JET)
INDIGO-POJ-0193,serviceprovision1,INDIGO-ORG-0807,Nonprofit/NGO,Individual Placement Support aimed at getting people with mental health issues back or into competitively paid employment,2020-04,2024-04,2020-04,,,,,
INDIGO-POJ-0194,serviceprovision1,INDIGO-ORG-1156,For-profit,Therapeutic step down foster care,2020-04,2026-01,2020-04,,,,,
INDIGO-POJ-0195,serviceprovision1,INDIGO-ORG-1116,,"SM service centres around provision of employment; the young ex-offenders are offered 9 to 5 paid employment four days a week and encouraged to acquire a Level 2 qualification. In addition, participants are supported through mentoring given by both the supervisor on a day to day basis and more in-depth support from a dedicated guidance counsellor.",2020-08,2024-11,,,,,,
INDIGO-POJ-0196,serviceprovision1,INDIGO-ORG-0643,,,,,,,,,,
INDIGO-POJ-0197,serviceprovision1,INDIGO-ORG-1124,,,2020-08,,,,,,,
INDIGO-POJ-0198,serviceprovision1,INDIGO-ORG-1132,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision2,INDIGO-ORG-1133,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision3,INDIGO-ORG-1134,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision4,INDIGO-ORG-1135,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision5,INDIGO-ORG-1136,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision6,INDIGO-ORG-1137,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision7,INDIGO-ORG-1138,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision8,INDIGO-ORG-1139,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision9,INDIGO-ORG-1140,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision10,INDIGO-ORG-1141,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision11,INDIGO-ORG-1142,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision12,INDIGO-ORG-1143,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision13,INDIGO-ORG-1144,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0198,serviceprovision14,INDIGO-ORG-1145,Nonprofit/NGO,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",2020-09,2023-12,2020-09,,,,,
INDIGO-POJ-0199,,INDIGO-ORG-0535,Nonprofit/NGO,"The interventions identify the function of the challenging behaviour and deliver practical solutions to improve the individual's quality of life, reducing the need for residential placements, with a focus on them remaining at home or other supported homes",2020-10,2029-06,2020-10,,,,,
INDIGO-POJ-0200,serviceprovision1,INDIGO-ORG-1184,,,,,,,,,,
INDIGO-POJ-0200,serviceprovision2,INDIGO-ORG-1186,,,,,,,,,,
INDIGO-POJ-0200,serviceprovision3,INDIGO-ORG-1187,,,,,,,,,,
INDIGO-POJ-0200,serviceprovision4,INDIGO-ORG-1188,,,,,,,,,,
INDIGO-POJ-0201,serviceprovision1,INDIGO-ORG-0690,For-profit,"Intensive support to children at risk of care entry or who recently entered care to help them remain with their families where it is safe to do so, and wraparound specialist support to children in care to help them step down to suitable foster placements.",2020-10-01,2025-09,2020-10,,,,,
INDIGO-POJ-0202,serviceprovision1,INDIGO-ORG-1129,For-profit,MCM runs a flexible education program tailored towards providing a supportive environment to young people experiencing barriers,,,,,,,,
INDIGO-POJ-0203,,INDIGO-ORG-1161,,,,,,,,,,
INDIGO-POJ-0203,,INDIGO-ORG-1162,,,,,,,,,,
INDIGO-POJ-0204,serviceprovision1,INDIGO-ORG-1182,Other,,,,,,,,,
INDIGO-POJ-0205,,INDIGO-ORG-1189,Foundation/Philanthropist,,2021-05,,,,,,,
INDIGO-POJ-0205,,INDIGO-ORG-1161,Foundation/Philanthropist,,2021-05,,,,,,,
INDIGO-POJ-0205,,INDIGO-ORG-1190,Foundation/Philanthropist,,2021-05,,,,,,,
INDIGO-POJ-0206,serviceprovision1,INDIGO-ORG-0976,,,,,,,,,,
INDIGO-POJ-0207,serviceprovision1,INDIGO-ORG-0449,,1 year integrated training programme for young adult imates on soft and employability skills to enhance social integration and reduce the risk of recurrence,,,,,,,,
INDIGO-POJ-0209,serviceprovision1,INDIGO-ORG-0930,,,,,,,,,,
INDIGO-POJ-0210,serviceprovision1,INDIGO-ORG-1211,For-profit,,2020-01,,,,,,,
INDIGO-POJ-0211,,INDIGO-ORG-1215,Other,,,,,,,,,
INDIGO-POJ-0211,,INDIGO-ORG-1216,Foundation/Philanthropist,,,,,,,,,
INDIGO-POJ-0212,,INDIGO-ORG-1244,Foundation/Philanthropist,,,,,,,,,
INDIGO-POJ-0213,,INDIGO-ORG-1241,For-profit,,,,,,,,,
